ean,descricao,marca,conteudo,origem,autorizacao,enviado_por,imagem
7894900027013,REFRIG.COCA COLA 2LT,,2 L,a confirmar,,Rede Valente,imagens/7894900/7894900027013.webp
7896045505340,CERVEJA AMSTEL LT 473ML P.MALTE,,473 ml,a confirmar,,Rede Valente,imagens/7896045/7896045505340.webp
7896581300034,HAMBURGUER PIF PAF CX 672GR BOVINO,Pif Paf,672 g,industria,"Pif Paf, portal PackShelf para clientes",Rede Valente,imagens/7896581/7896581300034.webp
7896581300188,ASA DE FRANGO PIF PAF BJ 1KG,Pif Paf,1 kg,industria,"Pif Paf, portal PackShelf para clientes",Rede Valente,imagens/7896581/7896581300188.webp
7896581300218,CORACAO FRANGO PIF PAF BJ 1KG,Pif Paf,1 kg,industria,"Pif Paf, portal PackShelf para clientes",Rede Valente,imagens/7896581/7896581300218.webp
7896581301154,HAMBURGUER PIF PAF CX 672GR FRANGO,Pif Paf,672 g,industria,"Pif Paf, portal PackShelf para clientes",Rede Valente,imagens/7896581/7896581301154.webp
7896581302380,COXINHA ASA PIF PAF BJ.1KG,Pif Paf,1 kg,industria,"Pif Paf, portal PackShelf para clientes",Rede Valente,imagens/7896581/7896581302380.webp
7896581302786,LING.PIF PAF MINEIRA PORCO 800G,Pif Paf,800 g,industria,"Pif Paf, portal PackShelf para clientes",Rede Valente,imagens/7896581/7896581302786.webp
7896581302847,PIZZA PIF PAF 460GR CALABRESA,Pif Paf,460 g,industria,"Pif Paf, portal PackShelf para clientes",Rede Valente,imagens/7896581/7896581302847.webp
7896581302854,PIZZA PIF PAF 460GR FRANGO C.REQUEI,Pif Paf,460 g,industria,"Pif Paf, portal PackShelf para clientes",Rede Valente,imagens/7896581/7896581302854.webp
7896581302984,PIZZA PIF PAF 460GR MUSSARELA,Pif Paf,460 g,industria,"Pif Paf, portal PackShelf para clientes",Rede Valente,imagens/7896581/7896581302984.webp
7896581304490,PD.FILE PEITO FRANGO DESFIADO KG.,,,industria,"Pif Paf, portal PackShelf para clientes",Rede Valente,imagens/7896581/7896581304490.webp
7896581304575,MANDIOKITA PIF PAF TRAD.300GR,Pif Paf,300 g,industria,"Pif Paf, portal PackShelf para clientes",Rede Valente,imagens/7896581/7896581304575.webp
7896581304582,HAMBURGUER PIF PAF SC 56GR BOVINO,Pif Paf,56 g,industria,"Pif Paf, portal PackShelf para clientes",Rede Valente,imagens/7896581/7896581304582.webp
7896581304599,HAMBURGUER PIF PAF SC 56GR FRANGO,Pif Paf,56 g,industria,"Pif Paf, portal PackShelf para clientes",Rede Valente,imagens/7896581/7896581304599.webp
7896581307255,PAO DE QUEIJO PIF PAF 1KG COQUETEL,Pif Paf,1 kg,industria,"Pif Paf, portal PackShelf para clientes",Rede Valente,imagens/7896581/7896581307255.webp
7896581307583,ERVILHA PIF PAF CONG.300GR,Pif Paf,300 g,industria,"Pif Paf, portal PackShelf para clientes",Rede Valente,imagens/7896581/7896581307583.webp
7896581307712,LASANHA PIF PAF 600GR BOLONHESA,Pif Paf,600 g,industria,"Pif Paf, portal PackShelf para clientes",Rede Valente,imagens/7896581/7896581307712.webp
