id,categoria,nome,apelidos,origem,autorizacao,enviado_por,imagem
acem-paleta-ou-peito-reserva,acougue,"Acém, paleta ou peito reserva","Acém, paleta ou peito reserva peça/pedaço; Acém; Paleta bovina; Peito reserva",ia,,Mercopaulo,granel/acougue/acem-paleta-ou-peito-reserva.webp
costela-bovina-resfriada,acougue,Costela bovina resfriada,Costela bovina; Costela de boi,ia,,Mercopaulo,granel/acougue/costela-bovina-resfriada.webp
costela-do-chef-pif-paf,acougue,Costela do Chef Pif Paf,Costela suína Pif Paf; CARNE SUINA-COSTELA PIF PAF TP KG,industria,"Pif Paf, portal PackShelf para clientes",Rede Valente,granel/acougue/costela-do-chef-pif-paf.webp
costela-suina-resfriada,acougue,Costela suína resfriada,Costela suína; Costela de porco,ia,,Mercopaulo,granel/acougue/costela-suina-resfriada.webp
linguica-calabresa-fina-pif-paf,acougue,Linguiça calabresa fina Pif Paf,LING.PIF PAF TP.CALABRESA FINA KG,industria,"Pif Paf, portal PackShelf para clientes",Rede Valente,granel/acougue/linguica-calabresa-fina-pif-paf.webp
lombo-suino-resfriado,acougue,Lombo suíno resfriado,Lombo suíno; Lombo de porco,ia,,Mercopaulo,granel/acougue/lombo-suino-resfriado.webp
musculo-bovino,acougue,Músculo bovino,Músculo bovino peça/pedaço; Músculo,ia,,Mercopaulo,granel/acougue/musculo-bovino.webp
patinho-bovino-resfriado,acougue,Patinho bovino resfriado,Patinho bovino; Patinho,ia,,Mercopaulo,granel/acougue/patinho-bovino-resfriado.webp
coxa-e-sobrecoxa-resfriada,aves,Coxa e sobrecoxa resfriada,Coxa sobrecoxa resfriada; Coxa sobrecoxa; Coxa e sobrecoxa de frango,ia,,Mercopaulo,granel/aves/coxa-e-sobrecoxa-resfriada.webp
file-de-peito-resfriado,aves,Filé de peito resfriado,Filé de peito; Filé de frango; Peito de frango sem osso,ia,,Mercopaulo,granel/aves/file-de-peito-resfriado.webp
apresuntado-pif-paf-retangular,frios,Apresuntado Pif Paf retangular,Apresuntado Pif Paf; APRESUNTADO PIF PAF RETANGULAR KG,industria,"Pif Paf, portal PackShelf para clientes",Rede Valente,granel/frios/apresuntado-pif-paf-retangular.webp
mortadela-bonella-defumada-pif-paf,frios,Mortadela Bonella defumada Pif Paf,Mortadela Bonella; MORTADELA PIF PAF BONELLA DEF.KG,industria,"Pif Paf, portal PackShelf para clientes",Rede Valente,granel/frios/mortadela-bonella-defumada-pif-paf.webp
mortadela-de-frango-pif-paf,frios,Mortadela de frango Pif Paf,MORTADELA PIF PAF FRANGO KG,industria,"Pif Paf, portal PackShelf para clientes",Rede Valente,granel/frios/mortadela-de-frango-pif-paf.webp
mortadela-tradicao-pif-paf,frios,Mortadela Tradição Pif Paf,MORTADELA PIF PAF TRADICAO KG,industria,"Pif Paf, portal PackShelf para clientes",Rede Valente,granel/frios/mortadela-tradicao-pif-paf.webp
presunto-pif-paf-retangular,frios,Presunto Pif Paf retangular,Presunto Pif Paf; PRESUNTO PIF PAF RETANG.KG,industria,"Pif Paf, portal PackShelf para clientes",Rede Valente,granel/frios/presunto-pif-paf-retangular.webp
salsicha-hot-dog-pif-paf,frios,Salsicha hot dog Pif Paf,SALSICHA HOT DOG PIF PAF KG L,industria,"Pif Paf, portal PackShelf para clientes",Rede Valente,granel/frios/salsicha-hot-dog-pif-paf.webp
